target|time|link
2024-05-20||https://www.ipsos.com/en-us/ipsos-2024-us-national-election-survey-may-2024
2024-05-20||https://www.marketwatch.com/story/the-stock-market-has-already-chosen-a-winner-in-the-2024-presidential-election-bdbfec99
2024-05-20|2024-05-20T21:22:21-07:00|https://www.business-standard.com/world-news/us-elections-2024-here-s-a-list-of-candidates-running-for-president-s-post-124052100200_1.html
2024-05-20||https://www.kgw.com/article/news/politics/elections/oregon-portland-election-results-may-2024-primary/283-47eec84d-b953-42fe-b031-fb3dd5c641ef
2024-05-20|2024-05-20T17:48:44+00:00|https://www.fbi.gov/video-repository/fbi-seattle-police-week-video-052024.mp4/view
2024-05-20||https://www.bannockcounty.us/election-results/
2024-05-20|2024-05-21T18:28:17.903Z|https://www.reuters.com/world/us/bidens-approval-rating-falls-lowest-level-nearly-two-years-reutersipsos-poll-2024-05-21/
2024-05-20||https://www.washingtoncountyor.gov/elections/current-election
2024-05-20||https://www.guilfordcountync.gov/our-county/board-of-elections/current-election-results-dashboard
2024-05-21|2024-05-29T15:59:43.170Z|https://www.reuters.com/world/us/how-trumps-hush-money-trial-verdict-could-affect-2024-election-2024-05-22/
2024-05-21||https://www.politico.com/news/magazine/2024/05/21/whitman-ruto-kenya-cabinet-consideration-00159251
2024-05-22|2024-05-23T00:10:44+00:00|https://www.france24.com/en/americas/20240523-former-us-presidential-hopeful-nikki-haley-says-she-will-vote-for-trump
2024-05-22|2024-05-23T21:24:54.589Z|https://www.washingtonpost.com/opinions/2024/05/23/crisis-america-democratic-republic/
2024-05-22|2024-05-30T21:05:33+00:00|https://www.opensecrets.org/news/2024/05/federal-lobbying-spending-tops-1-billion-in-q1-first-quarter-of-2024/
2024-05-23||https://www.usnews.com/news/politics/articles/2024-05-24/sorting-the-fiction-from-the-facts-about-noncitizen-voting
2024-05-23|2024-05-24T12:31:46.629Z|https://www.reuters.com/world/us/fake-us-election-related-accounts-proliferating-x-study-says-2024-05-24/
2024-05-23||https://www.politico.com/news/magazine/2024/05/24/britain-labour-biden-centrist-00159727
2024-05-25||https://www.politico.com/news/2024/05/26/libertarians-reject-trump-rfk-chase-oliver-presidential-nominee-00160040
2024-05-25|2024-05-28T22:08:14.810Z|https://www.washingtonpost.com/technology/2024/05/26/us-election-misinformation-prebunking/
2024-05-26|2024-05-27T13:00:00-04:00|https://thehill.com/opinion/campaign/4685012-misinformation-2024-presidential-election/
2024-05-27||https://ced.ncsu.edu/news/2024/05/28/alumni-distinguished-graduate-professor-of-higher-education-alyssa-rockenbach-to-explore-interpartisian-friendships-on-college-campuses-through-national-center-for-free-speech-and-civic-engagement-fel/
2024-05-27||https://www.politico.com/news/2024/05/28/democrats-freakout-over-biden-00160047
2024-05-27||https://www.politico.com/news/2024/05/28/trump-merchan-sentencing-prison-00151613
2024-05-27|2024-05-28T20:23:50+00:00|https://www.jns.org/many-eyes-on-arizona-jewish-voters-ahead-of-us-presidential-election/
