date_google,rating_democrats,rating_republicans
2024-01-16T12:11:39,1.0,-2.0
,-1.0,2.0
,3.0,-1.0
2024-01-18T00:01:33,3.0,-3.0
,-1.0,2.0
,0.0,0.0
2024-01-16T09:49:06,-4.0,5.0
,0.0,0.0
2024-01-16T14:47:48,-1.0,2.0
,-2.0,3.0
2024-01-16T11:00:10,0.0,0.0
2024-01-22T09:49:15,-1.0,1.0
2024-01-16T20:22:00,1.0,-1.0
2024-01-24T07:33:37,-3.0,5.0
2024-01-16T02:45:06,2.0,0.0
,4.0,-4.0
2024-03-13T17:07:21,1.0,-1.0
2024-01-17T10:42:20,1.0,0.0
2024-01-16T04:25:06,-2.0,1.0
,2.0,0.0
,1.0,0.0
,-1.0,2.0
2024-01-16T12:15:45,2.0,-2.0
2024-01-17T19:50:50,-1.0,2.0
,1.0,0.0
2024-01-17T18:23:44,0.0,0.0
2025-01-16T13:26:00,-3.0,4.0
2024-02-20T12:15:10,1.0,-3.0
2024-01-16T20:17:33,2.0,-2.0
2024-01-16T15:37:14,1.0,-1.0
,-2.0,1.0
2024-01-18T04:26:31,0.0,0.0
2024-01-17T15:11:08,2.0,1.0
,2.0,-1.0
,1.0,0.0
,-2.0,2.0
2024-10-16T21:18:35,0.0,0.0
2024-01-16T10:59:39,-1.0,2.0
2024-01-18T05:00:58,0.0,0.0
,2.0,-1.0
2024-01-16T12:11:39,2.0,-2.0
,0.0,2.0
,2.0,0.0
2024-01-18T00:01:33,4.0,-3.0
,0.0,2.0
,0.0,0.0
,0.0,2.0
2024-01-16T09:49:06,-3.0,4.0
2024-01-17T06:33:30,2.0,0.0
,0.0,0.0
,0.0,0.0
2024-01-16T14:47:48,-1.0,2.0
,-1.0,2.0
2024-01-16T11:00:10,0.0,0.0
2024-02-28T07:35:08,1.0,0.0
2024-01-18T16:26:38,0.0,0.0
,2.0,-1.0
2024-01-18T14:29:36,0.0,0.0
2024-01-23T15:15:45,2.0,-2.0
,4.0,-2.0
,5.0,-4.0
,0.0,0.0
2024-01-17T10:42:20,1.0,0.0
2024-01-18T11:15:18,0.0,0.0
,1.0,0.0
,0.0,0.0
