date_google,rating_democrats,rating_republicans
,-2.0,1.0
2024-07-21T14:31:15.395000,2.0,-1.0
2024-07-22T13:24:41,2.0,-1.0
2024-07-26T16:24:00.143000,-2.0,2.0
2024-07-22T03:38:22,4.0,0.0
2024-07-21T23:46:16.746000,4.0,0.0
2024-08-08T09:07:28,4.0,1.0
,1.0,-1.0
2024-07-22T01:02:39,3.0,2.0
2024-07-22T04:32:21,-3.0,0.0
2024-07-22T21:43:17,-3.0,2.0
2024-11-18T02:04:35,2.0,0.0
2024-07-22T03:26:23,1.0,-1.0
,4.0,-1.0
2024-09-04T11:19:20,4.0,-3.0
,1.0,0.0
,1.0,-1.0
2024-07-22T00:14:11,1.0,-4.0
2024-07-22T03:38:43,1.0,3.0
2024-07-21T17:59:24.232000,-3.0,1.0
2024-07-21T21:00:31.002015,2.0,0.0
2024-07-23T15:54:59,2.0,0.0
2024-09-05T11:35:51.168000,3.0,0.0
