date_google,rating_democrats,rating_republicans
,2.0,0.0
,0.0,0.0
,1.0,0.0
2024-01-24T14:14:47,1.0,-1.0
2024-01-23T19:47:13,0.0,2.0
2024-01-23T21:49:14,3.0,-2.0
2024-01-24T00:06:54,-3.0,1.0
,2.0,-2.0
,2.0,1.0
,0.0,0.0
2024-01-31T13:49:46,0.0,0.0
,4.0,-4.0
,0.0,0.0
2024-01-22T19:00:23,2.0,-2.0
2024-01-23T11:19:42,0.0,0.0
,0.0,0.0
2024-06-20T05:44:45,0.0,0.0
,2.0,-2.0
,0.0,2.0
,1.0,0.0
2024-01-23T20:04:37,3.0,-1.0
,2.0,-1.0
2024-01-23T19:42:19,4.0,-1.0
2024-01-23T18:23:00,2.0,-1.0
,0.0,0.0
2024-01-22T15:50:41,2.0,-2.0
2024-01-31T19:02:43,3.0,0.0
,4.0,-2.0
,-1.0,2.0
2024-01-23T19:09:34,1.0,-2.0
2024-01-29T18:40:36,1.0,0.0
2024-02-27T13:40:42,0.0,0.0
2024-01-23T14:57:51,2.0,-2.0
,0.0,0.0
2024-02-25T03:04:43,0.0,1.0
2024-11-06T10:30:04,0.0,0.0
2024-01-24T19:03:34,-2.0,3.0
2024-01-24T14:35:58,4.0,-4.0
,1.0,0.0
2024-01-24T21:03:05,5.0,-4.0
,0.0,0.0
2024-01-24T12:15:49,2.0,1.0
2024-01-25T05:00:52,0.0,0.0
2024-01-24T18:43:40,3.0,0.0
,2.0,-1.0
,0.0,1.0
,1.0,0.0
2024-01-23T19:47:13,-1.0,2.0
,1.0,0.0
2024-01-23T21:49:14,2.0,-1.0
2024-01-24T00:06:54,-2.0,0.0
,0.0,0.0
,0.0,0.0
,0.0,0.0
2024-01-24T15:00:00,0.0,0.0
,0.0,0.0
2024-01-31T13:49:46,0.0,0.0
,4.0,-4.0
