date_google,rating_democrats,rating_republicans
2024-06-28T01:49:27,-3.0,1.0
2024-06-28T03:48:27,-1.0,1.0
,2.0,-4.0
2024-06-28T11:43:52,0.0,0.0
,-2.0,0.0
2024-06-27T20:00:39,2.0,0.0
2024-06-28T00:04:09,0.0,0.0
2024-07-01T09:28:36,-4.0,2.0
2024-06-27T06:31:06.470000,3.0,-2.0
2024-06-29T13:23:26.257000,-1.0,2.0
,1.0,0.0
2024-06-28T23:35:53,0.0,0.0
2024-06-28T16:35:04.587000,1.0,0.0
,-1.0,0.0
2024-06-28T18:05:31,-3.0,0.0
2024-06-28T19:52:42,-1.0,0.0
,5.0,0.0
,0.0,0.0
2024-06-28T20:33:17,1.0,-1.0
2024-06-28T05:40:15,-3.0,2.0
2024-09-23T18:11:47.006000,1.0,0.0
2024-06-28T05:11:30,2.0,-2.0
2024-06-28T19:14:01,0.0,0.0
