date_google,rating_democrats,rating_republicans
2024-02-08T14:00:00,-1.0,2.0
,2.0,-2.0
2024-06-07T12:25:21,0.0,0.0
2034-01-26T12:32:34,3.0,-1.0
2024-02-08T10:53:22,0.0,-2.0
2024-02-08T19:54:07,1.0,0.0
2024-02-08T22:20:44,1.0,0.0
2024-02-08T22:20:44,0.0,0.0
,0.0,0.0
,0.0,0.0
,1.0,0.0
2024-02-09T18:49:00,5.0,-5.0
,4.0,-4.0
2024-02-08T15:48:17,2.0,0.0
,2.0,1.0
,3.0,-2.0
2024-02-08T05:11:23,-2.0,3.0
2024-02-08T15:43:20,0.0,0.0
,0.0,0.0
2024-02-09T18:17:53,0.0,0.0
2024-02-08T19:44:16,2.0,0.0
,-1.0,1.0
2024-02-09T10:03:49,-3.0,2.0
2024-02-09T10:48:38,2.0,-2.0
2024-02-08T14:05:52,2.0,-1.0
,1.0,0.0
2024-02-08T19:31:52,2.0,-1.0
,0.0,0.0
2024-07-29T20:57:26,0.0,0.0
,1.0,0.0
,0.0,0.0
2024-02-13T21:16:19,1.0,-2.0
2024-02-09T13:41:18,-3.0,2.0
,-4.0,4.0
2024-02-05T21:38:02,3.0,0.0
,0.0,0.0
2024-02-08T13:52:37,2.0,0.0
,0.0,0.0
,0.0,0.0
2024-06-07T12:25:21,0.0,0.0
2024-02-09T17:45:12,1.0,-3.0
,0.0,0.0
2024-02-10T10:30:29,2.0,-1.0
2024-02-09T18:49:00,5.0,-5.0
,2.0,-3.0
2024-02-09T22:11:34,0.0,0.0
2024-02-09T13:27:15,4.0,-3.0
,0.0,0.0
2024-02-09T18:17:53,0.0,0.0
2024-02-09T10:03:49,-3.0,1.0
2024-02-09T20:07:14,-1.0,1.0
2024-02-10T05:00:08,0.0,0.0
2024-07-29T20:57:26,0.0,0.0
,2.0,-2.0
,1.0,0.0
,-2.0,1.0
2024-03-18T11:46:21,1.0,0.0
,-1.0,0.0
,0.0,0.0
2024-02-11T21:20:20,2.0,-2.0
2024-02-09T13:41:18,-3.0,1.0
2024-02-13T21:16:19,1.0,-1.0
,-1.0,0.0
2024-02-09T05:01:11,3.0,0.0
,1.0,0.0
2024-02-10T11:00:00,2.0,-1.0
