date_google,rating_democrats,rating_republicans
,0.0,0.0
2024-01-05T11:54:04,0.0,2.0
2024-10-29T12:38:43,2.0,-1.0
,1.0,0.0
2024-01-07T10:00:56,0.0,2.0
,3.0,-1.0
2024-01-09T01:20:22,0.0,0.0
,4.0,-3.0
,1.0,-1.0
2024-01-10T14:50:55,-2.0,1.0
2024-01-06T19:45:16,2.0,-2.0
2024-01-06T05:00:46,4.0,-4.0
2024-01-06T05:04:53,1.0,-2.0
2024-01-06T19:16:03,4.0,-4.0
2024-01-16T21:24:17,-2.0,4.0
2024-01-07T03:27:48,1.0,0.0
2024-01-06T12:00:00,1.0,-2.0
,4.0,-4.0
2024-01-06T16:25:29,1.0,-1.0
2024-01-07T11:00:00,0.0,0.0
,1.0,0.0
2024-01-06T08:10:00,2.0,-4.0
,2.0,-1.0
2024-01-08T14:54:36,0.0,0.0
,-2.0,2.0
2024-06-28T13:07:40,0.0,0.0
,0.0,0.0
2024-01-07T10:00:56,-1.0,2.0
,1.0,0.0
2024-01-08T05:00:29,0.0,0.0
2024-01-08T10:08:01,-1.0,0.0
,0.0,0.0
2024-01-09T01:20:22,0.0,0.0
,1.0,0.0
2024-11-08T09:57:20,3.0,-3.0
2024-01-08T19:01:58,0.0,0.0
2024-01-08T21:05:01,3.0,-3.0
,4.0,-4.0
2024-01-08T11:00:00,0.0,0.0
2024-01-16T21:24:17,-4.0,4.0
2024-01-07T03:27:48,1.0,0.0
,0.0,0.0
2024-01-08T19:33:42,0.0,0.0
,0.0,0.0
,0.0,0.0
2024-01-07T11:00:00,0.0,0.0
,2.0,-3.0
2024-01-09T00:10:47,2.0,-2.0
2024-01-08T12:03:54,0.0,0.0
2024-01-08T11:10:47,3.0,0.0
2024-01-08T12:00:00,1.0,-1.0
,-4.0,4.0
2024-01-09T17:28:22,-3.0,3.0
2024-08-26T23:03:39,1.0,0.0
2024-01-08T13:48:50,-3.0,3.0
,-4.0,2.0
2024-01-07T13:16:30,1.0,-2.0
2024-01-08T23:17:36,2.0,-1.0
,0.0,1.0
,0.0,0.0
2024-01-09T00:00:11,1.0,0.0
2024-01-08T20:56:36,-4.0,4.0
2024-01-08T21:03:58,1.0,-2.0
,0.0,0.0
2024-01-08T14:54:36,1.0,0.0
,-2.0,-1.0
