date_google,rating_democrats,rating_republicans
,0.0,0.0
2024-05-30T23:34:31,4.0,-4.0
2024-05-30T11:56:08,-2.0,0.0
2024-11-08T03:46:37,5.0,-4.0
,2.0,-3.0
,4.0,-4.0
2024-08-12T20:00:22,2.0,1.0
,1.0,-1.0
2024-06-01T01:36:40,4.0,-4.0
2024-05-30T15:57:52,1.0,0.0
2024-05-30T22:37:07.255000,3.0,-2.0
2024-05-30T12:39:19,1.0,2.0
2024-05-30T13:57:19,-1.0,1.0
2024-06-01T16:53:14,2.0,-3.0
,1.0,-1.0
2024-06-27T21:38:17,-2.0,1.0
2024-05-30T10:35:37.916000,0.0,1.0
2024-05-31T02:14:08,2.0,0.0
2024-05-31T12:15:46,0.0,0.0
,0.0,2.0
2024-05-31T13:19:47,4.0,-4.0
2024-05-30T01:25:41.869000,0.0,0.0
2024-05-31T15:41:27.205000,4.0,-4.0
