date_google,rating_democrats,rating_republicans
2024-03-15T20:00:00,3.0,-2.0
2024-03-15T15:57:02,-1.0,2.0
2024-03-15T15:57:02,2.0,-1.0
,-2.0,0.0
2024-03-16T16:30:14,1.0,0.0
2024-03-16T16:43:02,-1.0,0.0
2024-03-16T19:00:46,0.0,0.0
2024-03-15T14:47:14,2.0,-1.0
2024-03-15T23:46:48,2.0,-2.0
2024-03-15T14:00:35,0.0,0.0
2024-04-01T14:32:46,0.0,0.0
,-2.0,-3.0
2024-03-16T13:01:21,3.0,-2.0
,1.0,-2.0
2024-03-15T20:17:35,0.0,0.0
2024-03-16T17:40:55,1.0,-3.0
2024-03-15T19:51:02,1.0,0.0
2024-11-05T20:02:05,2.0,-3.0
2024-03-20T13:30:57,2.0,-3.0
2024-03-15T23:04:09,0.0,-2.0
,2.0,0.0
2024-03-17T08:20:09,-3.0,4.0
2024-03-17T22:17:23,4.0,-3.0
2024-03-16T16:30:14,1.0,0.0
2024-03-16T16:43:02,-1.0,0.0
2024-03-16T19:00:46,0.0,0.0
2024-03-17T05:00:15,2.0,1.0
2024-11-08T09:57:45,2.0,-2.0
,-2.0,1.0
2024-03-17T11:02:32,-3.0,2.0
2024-03-18T12:49:49,1.0,-1.0
,-2.0,3.0
2024-11-06T10:06:41,-4.0,4.0
2024-03-17T10:00:06,0.0,0.0
2024-03-18T20:10:21,-2.0,1.0
,0.0,-2.0
2025-03-17T06:11:00,1.0,-2.0
2024-03-17T12:19:09,2.0,-3.0
2024-03-17T20:27:01,2.0,-2.0
,-4.0,4.0
,2.0,-1.0
