date_google,rating_democrats,rating_republicans
,-3.0,1.0
2024-08-12T00:00:00,1.0,0.0
,1.0,0.0
2024-08-12T18:01:05,2.0,0.0
2024-08-14T18:25:21,0.0,0.0
2024-08-12T23:40:27,2.0,-1.0
2024-08-12T01:08:22.328000,2.0,-1.0
,-2.0,1.0
2024-08-12T20:18:50.738000,0.0,0.0
2024-08-12T10:00:00,0.0,0.0
2024-10-24T20:03:35,0.0,0.0
2024-08-13T18:05:54,0.0,0.0
2024-08-13T13:07:00,0.0,1.0
2024-08-13T11:10:41,2.0,0.0
2024-08-13T12:42:33,0.0,0.0
2024-08-13T10:42:12.825000,-1.0,1.0
2024-08-15T14:17:48,4.0,-3.0
2024-08-13T19:49:17,2.0,-1.0
2024-08-13T23:25:31,2.0,1.0
2024-08-13T11:11:21,3.0,-3.0
