date_google,rating_democrats,rating_republicans
2024-04-22T00:17:54,0.0,0.0
2024-04-23T14:05:29.201000,1.0,0.0
2024-04-23T17:58:56,0.0,1.0
2024-04-23T09:00:20,-1.0,1.0
2024-04-24T14:35:41,1.0,3.0
,0.0,0.0
2024-04-23T04:00:44.339000,1.0,0.0
2024-05-15T00:00:00,0.0,0.0
2024-04-23T14:08:32.954000,0.0,0.0
2024-04-25T20:29:03,2.0,0.0
2024-04-24T17:57:47,0.0,0.0
2024-04-24T17:57:53,2.0,-2.0
,-2.0,-3.0
2024-07-30T14:17:49,0.0,0.0
2024-04-24T08:09:26,4.0,-2.0
2024-04-30T23:26:46,0.0,0.0
2024-04-24T09:00:15.662000,-3.0,2.0
2024-04-24T08:58:05,4.0,-4.0
2024-04-24T22:57:10.927000,-1.0,0.0
2024-04-23T18:45:17,1.0,-1.0
,1.0,-1.0
