date_google,rating_democrats,rating_republicans
2024-05-16T01:03:37,2.0,-1.0
2024-05-16T21:36:34,-4.0,4.0
2024-05-16T15:34:31,0.0,2.0
2024-08-23T20:26:56,2.0,-1.0
,0.0,0.0
2024-05-17T18:54:39.544000,0.0,0.0
2024-05-17T22:40:35,2.0,-2.0
2024-07-24T12:09:20,0.0,0.0
,-1.0,2.0
2024-05-16T21:38:58,1.0,0.0
2024-05-17T09:30:59,4.0,-4.0
2024-05-17T20:03:06,0.0,0.0
2024-05-17T22:02:27,2.0,-1.0
,0.0,0.0
2024-05-21T18:47:49,4.0,-4.0
,-2.0,-3.0
2024-05-16T20:52:04.119000,2.0,-2.0
2024-05-16T02:51:50,0.0,0.0
2024-06-12T10:36:20,1.0,0.0
2024-05-16T17:31:32,-1.0,0.0
2024-05-17T21:08:02,2.0,-1.0
2024-05-16T12:54:47,0.0,0.0
2024-05-18T08:11:38.950000,1.0,0.0
